GCF_001470455.1	GCA_900453675.1	Mycolicibacterium phlei
GCF_000901235.1	GCA_009913655.1	Lactiplantibacillus plantarum
GCF_002958905.1	GCA_009913655.1	Lactiplantibacillus plantarum
GCF_003665765.1	GCA_009913655.1	Lactiplantibacillus plantarum
GCF_002958875.1	GCA_009913655.1	Lactiplantibacillus plantarum
GCF_003665805.1	GCA_009913655.1	Lactiplantibacillus plantarum
GCF_001551565.1	GCA_900141965.1	Pseudoalteromonas marina
GCF_000907495.1	GCA_900141965.1	Pseudoalteromonas marina
GCF_001503815.1	GCA_900141965.1	Pseudoalteromonas marina
GCF_001882135.1	GCA_900141965.1	Pseudoalteromonas marina
GCF_005892845.1	GCA_963903195.1	Nodularia spumigena
GCF_003094295.1	GCA_028736315.1	Pectobacterium carotovorum
GCF_003094295.1	GCA_013488025.1	Pectobacterium carotovorum
GCF_000900955.1	GCA_028736315.1	Pectobacterium carotovorum
GCF_000900955.1	GCA_013488025.1	Pectobacterium carotovorum
GCF_000899355.1	GCA_028736315.1	Pectobacterium carotovorum
GCF_000899355.1	GCA_013488025.1	Pectobacterium carotovorum
GCF_000920475.1	GCA_028736315.1	Pectobacterium carotovorum
GCF_000920475.1	GCA_013488025.1	Pectobacterium carotovorum
GCF_002617005.1	GCA_028736315.1	Pectobacterium carotovorum
GCF_002617005.1	GCA_013488025.1	Pectobacterium carotovorum
GCF_001743975.2	GCA_028736315.1	Pectobacterium carotovorum
GCF_001743975.2	GCA_013488025.1	Pectobacterium carotovorum
GCF_002613725.1	GCA_028736315.1	Pectobacterium carotovorum
GCF_002613725.1	GCA_013488025.1	Pectobacterium carotovorum
GCF_002617425.2	GCA_028736315.1	Pectobacterium carotovorum
GCF_002617425.2	GCA_013488025.1	Pectobacterium carotovorum
GCF_002617945.1	GCA_028736315.1	Pectobacterium carotovorum
GCF_002617945.1	GCA_013488025.1	Pectobacterium carotovorum
GCF_002609265.1	GCA_028736315.1	Pectobacterium carotovorum
GCF_002609265.1	GCA_013488025.1	Pectobacterium carotovorum
GCF_003865535.1	GCA_028736315.1	Pectobacterium carotovorum
GCF_003865535.1	GCA_013488025.1	Pectobacterium carotovorum
GCF_002617925.2	GCA_028736315.1	Pectobacterium carotovorum
GCF_002617925.2	GCA_013488025.1	Pectobacterium carotovorum
GCF_002607125.1	GCA_028736315.1	Pectobacterium carotovorum
GCF_002607125.1	GCA_013488025.1	Pectobacterium carotovorum
GCF_000900755.1	GCA_028736315.1	Pectobacterium carotovorum
GCF_000900755.1	GCA_013488025.1	Pectobacterium carotovorum
GCF_000896315.1	GCA_001908815.1	Xanthomonas vesicatoria
GCF_002602585.1	GCA_002119845.1	Rhizobium etli
GCF_002602585.1	GCA_000172755.1	Rhizobium etli
GCF_002602585.1	GCA_000092045.1	Rhizobium etli
GCF_002617285.1	GCA_002119845.1	Rhizobium etli
GCF_002617285.1	GCA_000172755.1	Rhizobium etli
GCF_002617285.1	GCA_000092045.1	Rhizobium etli
GCF_002755355.1	GCA_002119845.1	Rhizobium etli
GCF_002755355.1	GCA_000172755.1	Rhizobium etli
GCF_002755355.1	GCA_000092045.1	Rhizobium etli
GCF_001040775.1	GCA_002119845.1	Rhizobium etli
GCF_001040775.1	GCA_000172755.1	Rhizobium etli
GCF_001040775.1	GCA_000092045.1	Rhizobium etli
GCF_002755275.1	GCA_002119845.1	Rhizobium etli
GCF_002755275.1	GCA_000172755.1	Rhizobium etli
GCF_002755275.1	GCA_000092045.1	Rhizobium etli
GCF_002755335.1	GCA_002119845.1	Rhizobium etli
GCF_002755335.1	GCA_000172755.1	Rhizobium etli
GCF_002755335.1	GCA_000092045.1	Rhizobium etli
GCF_002080335.1	GCA_002119845.1	Rhizobium etli
GCF_002080335.1	GCA_000172755.1	Rhizobium etli
GCF_002080335.1	GCA_000092045.1	Rhizobium etli
GCF_000903995.1	GCA_035658535.1	Cronobacter malonaticus
GCF_001550485.1	GCA_035658535.1	Cronobacter malonaticus
GCF_001551625.1	GCA_013374815.1	Shigella sonnei
GCF_000895135.1	GCA_013374815.1	Shigella sonnei
GCF_001746195.1	GCA_013374815.1	Shigella sonnei
GCF_002955055.1	GCA_013374815.1	Shigella sonnei
GCF_000930595.1	GCA_013374815.1	Shigella sonnei
GCF_001745335.1	GCA_013374815.1	Shigella sonnei
GCF_001744675.1	GCA_013374815.1	Shigella sonnei
GCF_002955385.1	GCA_013374815.1	Shigella sonnei
GCF_001470215.1	GCA_013374815.1	Shigella sonnei
GCF_000888655.1	GCA_013374815.1	Shigella sonnei
GCF_001743555.1	GCA_013374815.1	Shigella sonnei
GCF_000912255.1	GCA_013374815.1	Shigella sonnei
GCF_001745995.1	GCA_013374815.1	Shigella sonnei
GCF_002625025.1	GCA_013374815.1	Shigella sonnei
GCF_002743575.1	GCA_013374815.1	Shigella sonnei
GCF_009431915.1	GCA_013374815.1	Shigella sonnei
GCF_002954935.1	GCA_900636925.1	Bordetella bronchiseptica
GCF_002954945.1	GCA_900636925.1	Bordetella bronchiseptica
GCF_000841725.1	GCA_900636925.1	Bordetella bronchiseptica
GCF_002954955.1	GCA_900636925.1	Bordetella bronchiseptica
GCF_002743695.1	GCA_900636925.1	Bordetella bronchiseptica
GCF_002954965.1	GCA_900636925.1	Bordetella bronchiseptica
GCF_000921795.1	GCA_021208565.1	Nitrincola sp.
GCF_000879455.1	GCA_000167955.1	Ralstonia solanacearum
GCF_000879455.1	GCA_902374465.1	Ralstonia pickettii
GCF_000879455.1	GCA_021117135.1	Ralstonia solanacearum
GCF_000915515.1	GCA_000167955.1	Ralstonia solanacearum
GCF_000915515.1	GCA_902374465.1	Ralstonia pickettii
GCF_000915515.1	GCA_021117135.1	Ralstonia solanacearum
GCF_001503055.1	GCA_000167955.1	Ralstonia solanacearum
GCF_001503055.1	GCA_902374465.1	Ralstonia pickettii
GCF_001503055.1	GCA_021117135.1	Ralstonia solanacearum
GCF_001736715.1	GCA_000167955.1	Ralstonia solanacearum
GCF_001736715.1	GCA_902374465.1	Ralstonia pickettii
GCF_001736715.1	GCA_021117135.1	Ralstonia solanacearum
GCF_000883215.1	GCA_000167955.1	Ralstonia solanacearum
GCF_000883215.1	GCA_902374465.1	Ralstonia pickettii
GCF_000883215.1	GCA_021117135.1	Ralstonia solanacearum
GCF_000867625.1	GCA_020386575.1	Phormidium sp. PBR-2020
